Pickup Community Area,Ride Date,Total Number of Rides
44,08/14/2015,11
44,08/14/2014,12
44,08/14/2013,8
44,09/17/2013,11
44,09/17/2016,1
44,01/27/2017,9
44,09/17/2014,8
44,09/17/2015,14
44,04/27/2013,1
44,04/27/2016,6
44,04/27/2017,2
44,04/27/2014,12
44,04/27/2015,6
44,01/27/2014,8
44,01/27/2013,2
44,01/27/2016,10
44,01/27/2015,7
44,01/11/2014,12
44,01/11/2015,9
44,01/11/2013,5
44,01/11/2016,11
44,01/11/2017,5
44,08/05/2016,4
44,11/19/2015,16
44,11/19/2016,4
44,08/05/2014,6
44,11/19/2013,8
44,11/19/2014,8
44,08/05/2015,3
44,08/05/2013,5
44,06/17/2017,3
44,06/17/2014,12
44,06/17/2013,4
44,06/17/2016,11
44,06/17/2015,7
44,03/15/2016,15
44,03/15/2017,6
44,03/15/2014,7
44,03/15/2015,5
44,06/20/2014,12
44,03/01/2015,19
44,03/01/2016,10
44,06/20/2013,5
44,06/20/2016,9
44,03/01/2017,12
44,06/20/2015,7
44,10/07/2015,12
44,10/07/2016,5
44,06/20/2017,3
44,03/01/2013,10
44,10/07/2013,2
44,03/01/2014,18
44,10/07/2014,8
44,07/16/2016,6
44,03/15/2013,9
44,07/16/2015,8
44,07/16/2017,2
44,07/16/2014,9
44,07/16/2013,6
44,04/07/2016,9
44,04/07/2017,3
44,03/08/2016,10
44,03/08/2017,2
44,03/08/2014,10
44,03/08/2015,10
44,03/08/2013,8
44,12/17/2015,9
44,12/17/2014,11
44,12/17/2016,6
44,06/24/2017,3
44,12/17/2013,3
44,06/24/2014,9
44,04/07/2014,6
44,06/27/2015,8
44,06/27/2014,13
44,04/07/2015,9
44,06/24/2013,2
44,06/24/2016,2
44,06/27/2013,1
44,06/24/2015,14
44,04/07/2013,3
44,06/27/2017,4
44,06/27/2016,5
44,03/11/2013,12
44,03/11/2017,11
44,03/11/2016,7
44,03/11/2015,33
44,03/11/2014,8
44,02/26/2016,3
44,02/26/2015,12
44,02/26/2017,5
44,01/14/2013,8
44,01/14/2014,10
44,08/01/2016,4
44,08/01/2015,8
44,08/01/2014,14
44,11/25/2013,9
44,11/25/2015,14
44,11/25/2014,12
44,08/01/2013,8
44,03/18/2014,8
44,03/18/2013,11
44,03/18/2016,8
44,03/18/2015,13
44,09/13/2015,10
44,09/13/2014,9
44,09/13/2013,5
44,10/13/2013,3
44,10/13/2014,7
44,10/13/2015,12
44,10/13/2016,8
44,01/04/2016,9
44,01/04/2017,4
44,03/18/2017,2
44,11/25/2016,3
44,01/14/2015,11
44,01/14/2016,11
44,01/14/2017,8
44,02/26/2014,17
44,02/26/2013,5
44,08/21/2016,3
44,08/21/2015,32
44,08/08/2013,3
44,08/21/2014,11
44,08/08/2014,9
44,08/08/2015,5
44,08/21/2013,5
44,08/08/2016,2
44,07/30/2015,16
44,07/30/2016,2
44,07/30/2017,1
44,07/30/2013,4
44,07/30/2014,9
44,06/18/2016,8
44,05/07/2017,2
44,06/18/2017,2
44,05/07/2015,17
44,06/18/2014,9
44,06/18/2015,17
44,05/07/2016,9
44,05/07/2013,8
44,05/07/2014,16
44,05/24/2013,5
44,05/24/2014,12
44,05/24/2015,3
44,05/24/2016,12
44,05/24/2017,5
44,07/13/2014,7
44,07/13/2015,6
44,07/13/2013,3
44,01/04/2014,5
44,01/04/2015,8
44,03/26/2013,9
44,01/04/2013,11
44,07/13/2016,5
44,07/13/2017,4
44,12/04/2013,6
44,12/04/2014,19
44,12/04/2015,17
44,03/26/2015,14
44,02/15/2017,8
44,03/26/2014,19
44,02/15/2015,17
44,03/26/2017,6
44,03/26/2016,13
44,02/15/2016,9
44,04/29/2016,7
44,04/29/2017,4
44,06/18/2013,8
44,04/13/2014,9
44,04/13/2013,5
44,04/13/2016,7
44,04/13/2015,5
44,04/13/2017,4
44,06/02/2016,3
44,06/02/2015,13
44,04/29/2013,9
44,06/02/2014,11
44,04/29/2014,8
44,04/29/2015,4
44,06/02/2013,5
44,02/15/2013,9
44,02/15/2014,10
44,12/04/2016,7
44,08/16/2013,11
