Pickup Community Area,Ride Date,Total Number of Rides
59,03/05/2016,3
59,03/05/2017,1
59,08/04/2014,17
59,08/04/2013,4
59,08/04/2016,18
59,08/04/2015,8
59,07/08/2014,18
59,07/08/2015,9
59,07/08/2016,8
59,07/08/2017,1
59,04/17/2015,14
59,04/17/2016,9
59,04/17/2017,15
59,01/17/2017,13
59,01/17/2016,3
59,11/29/2013,6
59,01/17/2015,3
59,11/29/2014,2
59,11/29/2015,3
59,01/17/2014,8
59,01/17/2013,15
59,11/29/2016,10
59,05/04/2016,11
59,10/26/2015,4
59,05/04/2017,10
59,10/26/2014,3
59,10/26/2016,11
59,05/04/2013,5
59,05/04/2014,8
59,10/26/2013,6
59,05/04/2015,15
59,01/08/2017,1
59,01/08/2016,5
59,01/08/2013,18
59,01/08/2015,14
59,12/25/2014,4
59,01/08/2014,15
59,12/25/2013,2
59,04/08/2017,2
59,11/13/2014,14
59,11/13/2013,18
59,11/04/2013,11
59,11/04/2014,15
59,04/26/2017,16
59,11/04/2015,12
59,11/04/2016,14
59,04/26/2015,2
59,04/26/2016,9
59,04/26/2013,15
59,04/26/2014,9
59,01/10/2016,2
59,01/10/2015,6
59,01/10/2017,10
59,01/10/2014,12
59,01/10/2013,16
59,11/06/2016,1
59,11/06/2015,16
59,11/06/2014,17
59,11/06/2013,10
59,05/18/2014,5
59,10/19/2016,12
59,10/19/2014,1
59,10/19/2015,7
59,10/19/2013,2
59,10/12/2013,3
59,10/12/2014,3
59,05/18/2016,17
59,05/18/2015,21
59,05/18/2017,11
59,08/29/2016,11
59,08/29/2014,15
59,08/29/2015,1
59,08/29/2013,18
59,02/02/2017,18
59,02/02/2014,3
59,02/02/2016,13
59,02/02/2015,2
59,10/12/2015,3
59,10/12/2016,11
59,06/05/2017,9
59,06/05/2016,1
59,06/05/2013,18
59,03/30/2013,3
59,03/30/2014,2
59,06/05/2015,12
59,06/05/2014,9
59,03/30/2017,21
59,03/30/2015,14
59,03/30/2016,13
59,01/15/2016,7
59,09/14/2013,1
59,09/14/2014,7
59,02/27/2016,1
59,02/27/2017,13
59,09/14/2015,10
59,09/14/2016,5
59,02/27/2014,21
59,02/27/2015,16
59,02/27/2013,13
59,08/20/2013,8
59,08/20/2014,16
59,08/20/2015,24
59,08/20/2016,5
59,07/10/2013,12
59,07/10/2014,8
59,07/10/2015,8
59,07/10/2016,1
59,07/10/2017,12
59,01/15/2013,15
59,01/15/2015,14
59,01/15/2014,12
59,05/11/2013,2
59,05/11/2014,3
59,05/11/2015,19
59,05/11/2016,13
59,05/11/2017,11
59,06/23/2016,15
59,06/23/2017,14
59,06/23/2013,1
59,06/23/2014,15
59,06/23/2015,9
59,04/24/2015,17
59,04/24/2016,1
59,04/24/2017,8
59,07/15/2013,7
59,07/15/2014,13
59,07/15/2015,7
59,04/24/2013,11
59,07/15/2016,24
59,04/24/2014,21
59,08/27/2014,9
59,08/27/2015,19
59,08/27/2016,3
59,08/02/2016,12
59,08/27/2013,7
59,08/02/2014,5
59,08/02/2013,17
59,03/28/2015,7
59,03/28/2014,16
59,03/28/2013,14
59,02/22/2014,1
59,02/22/2013,16
59,02/22/2016,12
59,02/22/2015,3
59,02/22/2017,16
59,04/06/2014,2
59,04/06/2016,10
59,04/06/2015,18
59,04/06/2017,11
59,05/09/2017,13
59,11/15/2016,17
59,11/15/2015,3
59,11/15/2014,3
59,11/15/2013,17
59,12/14/2015,7
59,12/14/2016,15
59,12/14/2013,5
59,12/14/2014,5
59,06/21/2016,4
59,06/21/2017,7
59,06/21/2014,5
59,06/21/2015,4
59,06/21/2013,9
59,12/23/2013,10
59,12/23/2014,15
59,12/23/2015,15
59,12/23/2016,15
59,05/22/2017,9
59,05/22/2016,2
59,05/22/2015,16
59,05/09/2013,15
59,05/22/2014,23
59,05/09/2014,21
59,05/22/2013,16
59,05/09/2015,5
59,05/09/2016,28
59,09/30/2014,13
59,04/03/2015,8
59,09/30/2013,10
59,04/03/2014,36
59,09/30/2016,18
59,04/03/2013,13
59,09/30/2015,7
59,04/03/2017,13
59,04/03/2016,1
59,02/09/2017,14
59,02/09/2016,10
59,02/09/2015,20
59,07/19/2013,17
59,02/09/2014,6
59,02/09/2013,3
59,05/29/2016,2
59,05/29/2015,14
59,05/29/2017,1
59,05/29/2014,14
59,05/29/2013,11
59,07/19/2017,8
59,07/19/2016,13
59,07/19/2015,3
59,07/19/2014,6
59,01/31/2016,2
59,09/16/2014,8
59,01/31/2017,13
59,09/16/2013,4
59,01/31/2014,8
59,09/16/2016,6
59,09/16/2015,13
59,01/31/2015,7
59,01/31/2013,19
59,10/30/2015,7
59,10/30/2016,6
59,10/30/2013,13
59,10/30/2014,13
59,07/03/2013,12
59,07/03/2014,25
59,07/03/2015,3
59,07/03/2016,6
59,07/03/2017,6
59,06/07/2017,11
59,06/07/2016,21
59,06/07/2015,2
59,06/07/2014,4
59,02/13/2013,14
59,06/07/2013,8
59,02/13/2014,21
59,02/13/2015,13
59,02/13/2016,2
59,02/13/2017,1
59,07/12/2014,6
59,07/12/2013,18
59,10/17/2016,11
59,09/07/2015,4
59,07/12/2016,30
59,09/07/2016,16
59,07/12/2015,4
59,07/12/2017,13
59,10/17/2013,3
59,10/17/2014,7
59,09/07/2013,2
59,09/07/2014,5
59,10/17/2015,5
59,03/25/2017,2
59,03/25/2013,7
59,03/25/2014,17
59,03/25/2015,23
59,03/25/2016,5
59,02/29/2016,8
59,10/10/2015,4
59,10/10/2016,3
59,10/10/2013,21
59,10/10/2014,12
59,01/24/2017,17
59,01/24/2016,1
59,01/24/2015,5
59,01/24/2014,18
59,08/11/2014,12
59,08/11/2016,20
59,08/11/2015,12
59,02/16/2014,3
59,02/16/2015,6
59,02/06/2017,13
59,12/27/2016,11
59,12/27/2015,2
59,12/27/2014,4
59,12/27/2013,4
59,02/06/2013,9
59,02/06/2014,9
59,02/06/2015,23
59,02/06/2016,2
59,06/30/2014,28
59,11/02/2015,6
59,11/02/2016,7
59,06/30/2015,9
59,06/30/2016,19
59,06/30/2017,16
59,12/30/2016,25
59,09/03/2016,2
59,12/30/2015,8
59,09/03/2015,16
59,12/30/2014,12
59,12/30/2013,6
59,07/26/2013,18
59,07/26/2017,8
59,07/26/2016,15
59,09/03/2014,7
59,07/26/2015,4
59,09/03/2013,12
59,07/26/2014,6
59,04/10/2016,7
59,04/10/2017,21
59,10/03/2015,6
59,10/03/2016,18
59,10/03/2013,9
59,10/03/2014,13
59,04/10/2014,27
59,04/10/2015,11
59,04/10/2013,9
59,12/20/2013,11
59,12/20/2015,4
59,11/02/2013,5
59,12/20/2014,6
59,11/02/2014,3
59,12/20/2016,14
59,05/25/2016,27
59,05/25/2015,2
59,05/25/2017,13
59,05/25/2014,4
59,05/25/2013,2
59,07/06/2016,10
59,07/06/2017,12
59,07/06/2014,1
59,07/06/2015,18
59,08/18/2015,16
59,08/18/2014,15
59,08/18/2013,1
59,03/21/2014,15
59,03/21/2013,11
59,03/21/2016,10
59,08/18/2016,19
59,03/21/2015,4
59,03/21/2017,12
59,05/02/2013,14
59,05/02/2016,9
59,05/02/2017,10
59,05/02/2014,31
59,05/02/2015,2
59,08/31/2016,24
59,08/31/2015,11
59,08/31/2014,5
59,08/31/2013,5
59,02/16/2016,14
59,02/16/2017,8
59,10/23/2016,1
59,10/23/2015,17
59,01/24/2013,18
59,09/23/2014,22
59,09/23/2013,4
59,09/23/2016,10
59,09/23/2015,10
59,03/28/2017,24
59,03/28/2016,11
59,07/29/2014,18
59,10/23/2014,19
59,10/23/2013,40
59,07/29/2013,13
59,07/29/2016,11
59,07/29/2015,10
59,11/17/2013,4
59,11/17/2014,15
59,11/17/2015,11
59,11/17/2016,14
59,03/02/2013,2
59,08/07/2013,17
59,08/07/2014,15
59,03/02/2015,3
59,08/07/2015,9
59,03/02/2014,4
59,03/02/2017,7
59,08/07/2016,2
59,03/02/2016,8
59,04/30/2013,17
59,04/30/2017,1
59,04/30/2016,2
59,04/30/2015,15
59,04/30/2014,23
59,09/02/2013,1
59,09/02/2014,14
59,09/02/2015,8
59,09/02/2016,8
59,01/13/2017,8
59,02/24/2016,17
59,02/24/2015,17
59,01/13/2016,8
59,02/24/2014,17
59,01/13/2015,11
59,01/13/2014,13
59,02/24/2013,1
59,02/24/2017,10
59,10/06/2013,2
59,10/06/2015,10
59,09/18/2016,2
59,09/18/2015,16
59,10/06/2014,12
59,09/18/2014,15
59,01/13/2013,1
59,09/18/2013,11
59,10/06/2016,10
59,06/11/2015,19
59,06/11/2016,1
59,06/11/2017,1
59,06/11/2013,12
59,06/11/2014,13
59,06/26/2017,16
59,05/15/2017,10
59,06/26/2015,4
59,05/15/2016,4
59,06/26/2016,4
59,05/15/2015,46
59,06/26/2013,8
59,06/26/2014,15
59,05/15/2014,21
59,05/15/2013,5
59,08/15/2013,12
59,08/15/2014,13
59,08/15/2015,2
59,08/15/2016,16
59,04/22/2017,3
59,07/21/2016,28
59,07/21/2015,13
59,07/21/2014,16
59,04/22/2015,27
59,04/22/2016,24
59,04/22/2013,8
59,04/22/2014,16
59,07/21/2017,7
59,04/28/2014,19
59,04/28/2013,4
59,09/10/2013,12
59,09/10/2014,15
59,09/10/2015,11
59,09/10/2016,6
59,01/21/2014,10
59,01/21/2015,16
59,01/21/2016,11
59,01/21/2017,1
59,01/30/2017,8
59,09/20/2016,10
59,09/20/2015,4
59,09/20/2014,3
59,09/20/2013,6
59,01/30/2014,15
59,01/30/2013,20
59,01/30/2016,2
59,01/30/2015,20
59,08/24/2013,2
59,08/24/2014,4
59,06/10/2013,19
59,06/10/2017,2
59,06/10/2016,12
59,06/10/2015,21
59,06/10/2014,14
59,08/24/2015,12
59,08/24/2016,16
59,10/24/2013,13
59,10/24/2014,17
59,08/25/2016,10
59,10/24/2015,2
59,05/06/2016,14
59,05/06/2017,2
59,05/06/2014,15
59,05/06/2015,12
59,06/03/2013,15
59,08/25/2014,11
59,06/03/2017,1
59,06/03/2016,13
59,08/25/2015,15
59,06/03/2015,18
59,06/03/2014,14
59,08/25/2013,4
59,04/12/2014,5
59,04/12/2015,1
59,04/12/2016,16
59,04/12/2017,32
59,05/23/2016,9
59,05/23/2015,3
59,05/23/2014,18
59,04/12/2013,12
59,05/23/2013,12
59,05/23/2017,17
59,06/01/2014,1
59,06/01/2015,21
59,06/01/2013,3
59,06/01/2016,24
59,06/01/2017,13
59,05/08/2017,3
59,05/08/2016,2
59,10/24/2016,13
59,03/17/2013,3
59,03/17/2014,13
59,03/17/2015,11
59,01/03/2014,13
59,01/03/2013,9
59,11/11/2016,5
59,11/11/2015,2
59,11/11/2014,8
59,11/11/2013,4
59,03/27/2017,10
59,03/27/2015,13
59,03/27/2013,10
59,09/12/2015,3
59,03/27/2014,17
59,09/12/2016,6
59,09/12/2013,15
59,09/12/2014,18
59,01/03/2016,3
59,01/03/2015,1
59,01/03/2017,16
59,03/17/2016,15
59,03/17/2017,8
59,05/06/2013,11
59,08/17/2015,9
59,08/17/2016,12
59,08/17/2013,1
59,08/17/2014,3
59,10/29/2013,11
59,10/29/2014,7
59,10/29/2015,12
59,10/29/2016,2
59,05/16/2017,21
59,05/16/2013,15
59,05/16/2014,20
59,05/16/2015,4
59,05/16/2016,21
59,11/01/2015,6
59,11/01/2014,4
59,11/01/2016,9
59,12/18/2013,10
59,12/18/2014,13
59,03/12/2017,1
59,11/01/2013,21
59,03/12/2016,3
59,03/12/2015,16
59,03/12/2014,10
59,03/12/2013,5
59,12/18/2015,8
59,05/08/2015,20
59,05/08/2014,17
59,05/08/2013,11
59,12/28/2013,4
59,12/28/2014,2
59,12/28/2015,7
59,12/28/2016,7
59,10/14/2014,9
59,10/14/2013,4
59,10/14/2016,35
59,10/14/2015,5
59,02/07/2015,4
59,02/07/2014,13
59,02/07/2017,12
59,02/07/2016,2
59,02/07/2013,11
59,01/23/2015,21
59,01/23/2016,5
59,01/23/2013,14
59,01/23/2014,13
59,01/23/2017,8
59,01/06/2014,6
59,01/06/2015,11
59,01/06/2016,8
59,01/06/2017,15
59,02/17/2016,18
59,12/02/2016,12
59,02/17/2015,20
59,02/17/2014,8
59,12/02/2014,9
59,12/02/2015,13
59,01/06/2013,1
59,05/10/2017,7
59,05/10/2016,17
59,05/10/2015,7
59,05/10/2014,7
59,05/10/2013,11
59,12/02/2013,11
59,07/27/2013,3
59,02/17/2017,19
59,07/27/2014,2
59,07/27/2015,9
59,07/27/2016,21
59,07/27/2017,9
59,11/24/2015,11
59,09/08/2013,1
59,11/24/2016,1
59,09/08/2015,11
59,09/08/2014,14
59,08/22/2013,12
59,07/11/2014,7
59,08/22/2014,16
59,09/08/2016,9
59,07/11/2015,3
59,07/11/2016,17
59,09/25/2016,2
59,08/22/2015,1
59,08/22/2016,11
59,09/25/2015,11
59,07/11/2017,13
59,09/25/2014,16
59,09/25/2013,4
59,07/11/2013,15
59,11/24/2013,4
59,11/24/2014,15
59,10/01/2014,22
59,10/01/2013,14
59,04/18/2017,17
59,04/18/2016,18
59,03/07/2017,15
59,05/13/2015,15
59,05/13/2014,18
59,05/13/2017,1
59,05/13/2016,15
59,03/07/2014,14
59,03/07/2013,14
59,05/13/2013,12
59,03/07/2016,2
59,03/07/2015,6
59,12/05/2014,14
59,12/05/2013,16
59,12/05/2016,4
59,12/05/2015,1
59,02/14/2015,6
59,02/14/2014,20
59,02/14/2017,7
59,02/14/2016,2
59,10/21/2014,13
59,10/21/2013,16
59,01/26/2013,1
59,10/21/2016,9
59,01/26/2014,4
59,01/26/2015,15
59,10/21/2015,9
59,01/26/2016,14
59,01/26/2017,14
59,02/14/2013,23
59,04/02/2017,1
59,04/02/2015,5
59,04/02/2016,5
59,04/18/2013,8
59,04/02/2013,10
59,04/02/2014,13
59,04/18/2015,3
59,04/18/2014,7
59,10/01/2016,2
59,02/04/2014,18
59,10/01/2015,10
59,02/04/2013,12
59,06/16/2013,1
59,06/16/2014,16
59,06/16/2015,9
59,12/15/2016,16
59,06/16/2016,9
59,06/16/2017,6
59,07/14/2017,9
59,09/05/2015,3
59,09/05/2016,2
59,09/05/2013,8
59,09/05/2014,8
59,07/14/2016,19
59,02/04/2017,1
59,07/14/2015,9
59,02/04/2016,11
59,07/14/2014,17
59,07/14/2013,4
59,02/04/2015,15
59,07/31/2013,7
59,07/31/2015,13
59,07/31/2014,15
59,07/31/2017,6
59,07/31/2016,1
59,02/21/2014,15
59,02/21/2015,5
59,02/21/2016,3
59,02/21/2017,15
59,02/21/2013,14
59,04/28/2017,11
59,04/28/2016,20
59,04/28/2015,15
59,01/09/2015,15
59,01/09/2016,3
59,01/09/2013,23
59,01/09/2014,16
59,01/09/2017,16
59,07/04/2015,4
59,10/31/2015,5
59,10/31/2014,20
59,09/15/2016,2
59,07/04/2014,1
59,10/31/2013,15
59,01/19/2015,3
59,07/04/2017,1
59,01/19/2014,1
59,07/04/2016,1
59,01/19/2017,10
59,01/19/2016,14
59,07/04/2013,1
59,10/31/2016,11
59,09/15/2013,3
59,09/15/2015,9
59,09/15/2014,11
59,01/29/2017,2
59,11/27/2015,2
59,01/29/2016,11
59,01/29/2015,14
59,11/27/2014,7
59,11/27/2013,11
59,01/29/2014,17
59,01/29/2013,13
59,06/09/2016,16
59,09/28/2015,6
59,09/28/2014,8
59,06/09/2017,6
59,09/28/2016,53
59,09/28/2013,3
59,02/11/2017,1
59,02/11/2015,12
59,02/11/2016,9
59,02/11/2013,16
59,07/24/2013,7
59,02/11/2014,14
59,06/09/2013,6
59,07/24/2015,10
59,06/09/2014,21
59,06/09/2015,14
59,07/24/2014,18
59,07/24/2017,14
59,07/24/2016,3
59,11/07/2014,13
59,11/07/2015,4
59,11/07/2013,17
59,11/07/2016,8
59,04/15/2015,22
59,06/19/2014,25
59,04/15/2016,16
59,06/19/2013,13
59,02/01/2013,10
59,02/01/2014,2
59,04/15/2013,9
59,05/20/2013,4
59,04/15/2014,18
59,04/05/2013,10
59,02/01/2015,8
59,06/29/2015,6
59,02/01/2016,6
59,02/01/2017,16
59,06/29/2014,3
59,04/15/2017,3
59,06/29/2017,9
59,06/29/2016,15
59,12/22/2015,5
59,12/22/2014,7
59,12/22/2013,3
59,05/20/2015,19
59,05/20/2014,20
59,05/20/2017,1
59,12/22/2016,13
59,05/20/2016,13
59,06/29/2013,1
59,04/05/2014,3
59,04/05/2015,4
59,06/19/2017,11
59,04/05/2016,16
59,04/05/2017,9
59,06/19/2015,9
59,05/30/2016,2
59,05/30/2015,4
59,05/30/2014,23
59,05/30/2013,17
59,12/12/2013,9
59,12/12/2014,13
59,12/12/2015,1
59,05/30/2017,12
59,12/12/2016,9
16,03/31/2015,136
16,03/31/2014,150
16,03/31/2013,122
16,02/03/2013,126
16,03/31/2017,67
16,03/31/2016,113
16,09/06/2016,60
16,09/06/2015,172
16,09/06/2014,346
16,09/06/2013,160
16,05/19/2014,185
16,05/19/2015,112
16,10/11/2016,60
16,10/11/2015,151
16,10/11/2014,316
16,05/19/2013,155
16,02/19/2016,145
16,08/12/2013,126
16,02/19/2015,176
16,02/19/2017,69
16,02/19/2014,173
16,02/19/2013,93
16,05/19/2016,108
16,05/19/2017,74
16,08/12/2016,121
16,08/12/2014,166
16,08/12/2015,130
16,04/25/2013,106
16,02/03/2016,101
16,02/03/2017,75
16,04/25/2015,257
16,02/03/2014,188
16,02/03/2015,278
16,04/25/2014,247
16,04/25/2017,71
16,04/25/2016,94
16,05/03/2017,90
16,05/03/2016,89
16,05/03/2015,279
16,05/03/2014,355
16,05/03/2013,140
16,08/28/2014,208
16,08/28/2013,95
16,08/28/2016,92
16,08/28/2015,156
16,10/18/2014,339
16,05/12/2017,60
16,10/18/2013,157
16,10/18/2016,77
16,10/18/2015,161
16,01/25/2014,247
16,01/25/2013,114
16,05/12/2013,118
16,05/12/2014,181
16,05/12/2015,144
16,05/12/2016,110
16,01/16/2015,233
16,01/16/2016,148
16,01/16/2013,65
16,01/16/2014,180
16,01/25/2017,81
16,01/25/2016,85
16,01/25/2015,212
16,11/05/2013,91
16,11/05/2014,147
16,11/05/2015,158
16,11/05/2016,79
16,08/19/2013,93
16,08/19/2014,201
16,08/19/2015,135
16,08/19/2016,106
16,05/28/2014,151
16,05/28/2015,145
16,05/28/2016,141
16,05/28/2017,60
16,03/06/2013,105
16,03/06/2015,260
16,03/06/2014,197
16,12/24/2014,137
16,10/02/2016,83
16,12/24/2015,117
16,12/24/2016,66
16,02/12/2015,216
16,02/12/2014,157
16,02/12/2013,75
16,02/12/2017,63
16,02/12/2016,123
16,11/14/2016,88
16,01/16/2017,55
16,11/14/2014,261
16,11/14/2015,175
16,11/14/2013,128
16,02/28/2017,76
16,10/02/2013,121
16,10/02/2015,162
16,10/02/2014,201
16,12/24/2013,128
16,10/27/2013,206
16,10/27/2014,152
16,10/27/2015,126
16,10/27/2016,87
16,06/06/2015,290
16,06/06/2016,108
16,06/06/2013,110
16,06/06/2014,293
16,07/09/2016,119
16,07/09/2015,149
16,06/06/2017,61
16,07/09/2017,79
16,10/11/2013,152
16,10/20/2013,150
16,10/20/2014,166
16,10/20/2015,148
16,10/20/2016,77
16,07/09/2014,177
16,07/09/2013,92
16,03/06/2017,68
16,03/06/2016,110
16,11/21/2013,134
16,11/21/2015,198
16,11/21/2014,244
16,11/21/2016,75
16,03/29/2017,82
16,12/15/2015,103
16,12/15/2014,183
16,12/15/2013,206
16,09/22/2013,172
16,09/22/2014,192
16,09/22/2015,132
16,09/22/2016,70
16,05/21/2017,68
16,05/21/2015,166
16,05/21/2016,153
16,05/21/2013,94
16,05/21/2014,230
16,09/24/2016,106
16,09/24/2014,198
16,01/07/2014,169
16,07/02/2017,60
16,09/24/2015,135
16,07/02/2016,125
16,01/07/2013,75
16,03/29/2013,119
16,01/07/2016,91
16,03/29/2014,293
16,01/07/2015,137
16,03/29/2015,201
16,03/29/2016,81
16,01/07/2017,60
16,04/09/2013,87
16,07/02/2015,152
16,04/09/2014,162
16,07/02/2014,138
16,04/09/2015,145
16,09/24/2013,91
16,04/09/2016,137
16,07/02/2013,63
16,04/09/2017,68
16,06/15/2014,245
16,06/15/2013,185
16,06/15/2017,63
16,06/15/2016,85
16,06/15/2015,235
16,10/09/2014,214
16,07/07/2016,105
16,10/09/2013,98
16,07/07/2015,143
16,07/07/2014,167
16,07/07/2013,120
16,04/16/2017,56
16,04/16/2016,163
16,04/16/2015,166
16,04/16/2014,165
16,07/07/2017,76
16,10/09/2016,74
16,10/09/2015,173
16,12/01/2014,197
16,12/01/2013,162
16,12/01/2016,94
16,12/01/2015,105
16,05/28/2013,88
16,04/16/2013,118
16,03/04/2013,84
16,12/08/2015,92
16,12/08/2014,190
16,12/08/2013,176
16,12/08/2016,96
16,07/25/2015,200
16,07/25/2016,113
16,07/25/2013,120
16,07/25/2014,257
16,08/30/2013,198
16,08/30/2014,333
16,08/30/2015,158
16,08/30/2016,74
16,07/25/2017,54
16,05/26/2014,193
16,05/26/2015,168
16,10/04/2016,56
16,10/04/2015,225
16,10/04/2014,313
16,05/26/2013,143
16,10/04/2013,160
16,05/26/2016,132
16,05/26/2017,84
16,09/29/2013,164
16,09/29/2014,187
16,02/10/2013,99
16,02/10/2015,176
16,02/10/2014,183
16,09/29/2015,111
16,02/10/2017,70
16,09/29/2016,102
16,02/10/2016,110
16,03/22/2016,88
16,03/22/2017,72
16,03/22/2014,335
16,03/22/2015,195
16,06/13/2015,299
16,06/13/2016,113
16,03/22/2013,156
16,06/13/2013,130
16,06/13/2014,253
16,06/13/2017,49
16,06/04/2013,71
16,06/04/2014,188
16,06/04/2015,148
16,06/04/2016,159
16,06/04/2017,59
16,05/05/2014,206
16,05/05/2013,149
16,05/05/2016,139
16,05/05/2015,153
16,05/05/2017,82
16,01/18/2015,168
16,01/18/2016,101
16,01/18/2017,75
16,01/18/2013,121
16,01/18/2014,229
16,04/23/2017,70
16,04/23/2016,154
16,04/23/2015,172
16,04/23/2014,210
16,04/23/2013,97
16,03/04/2017,76
16,03/04/2016,148
16,03/04/2015,160
16,03/04/2014,166
16,06/08/2015,165
16,06/08/2016,80
16,06/08/2017,65
16,10/16/2016,88
16,10/16/2015,186
16,10/16/2014,213
16,10/16/2013,98
16,12/10/2014,142
16,12/10/2013,163
16,06/08/2013,193
16,06/08/2014,279
16,12/10/2016,133
16,11/12/2013,124
16,12/10/2015,125
16,07/23/2015,153
16,07/23/2016,143
16,04/20/2013,143
16,07/23/2017,78
16,04/20/2014,237
16,04/20/2015,165
16,04/20/2016,97
16,07/23/2013,80
16,04/20/2017,73
16,03/24/2017,95
16,07/23/2014,202
16,03/24/2016,160
16,03/24/2015,149
16,03/24/2014,180
16,03/24/2013,116
16,11/28/2014,186
16,11/28/2013,146
16,11/28/2016,86
16,11/28/2015,131
16,11/12/2014,181
16,11/12/2015,162
16,11/12/2016,72
16,01/20/2013,85
16,01/20/2017,73
16,01/20/2016,105
16,01/20/2015,141
16,08/14/2016,125
16,01/20/2014,145
16,08/14/2015,188
16,08/14/2014,199
16,08/14/2013,116
16,09/17/2013,60
16,09/17/2016,73
16,01/27/2017,82
16,09/17/2014,199
16,09/17/2015,159
16,04/27/2013,173
16,04/27/2016,105
16,04/27/2017,78
16,04/27/2014,240
16,04/27/2015,150
16,01/27/2014,157
16,01/27/2013,110
16,01/27/2016,105
16,01/27/2015,124
16,01/11/2014,236
16,01/11/2015,198
16,01/11/2013,103
16,01/11/2016,120
16,01/11/2017,82
16,08/05/2016,114
16,11/19/2015,152
16,11/19/2016,108
16,08/05/2014,159
16,11/19/2013,122
16,08/05/2015,120
16,11/19/2014,162
16,08/05/2013,97
16,06/17/2017,92
16,06/17/2014,183
16,06/17/2013,99
16,06/17/2016,135
16,06/17/2015,146
16,03/15/2016,89
16,03/15/2017,87
16,03/15/2014,488
16,03/15/2015,252
16,03/01/2015,212
16,06/20/2014,295
16,03/01/2016,90
16,06/20/2013,133
16,06/20/2016,112
16,03/01/2017,82
16,06/20/2015,210
16,10/07/2015,152
16,10/07/2016,113
16,06/20/2017,58
16,03/01/2013,155
16,10/07/2013,86
16,03/01/2014,305
16,10/07/2014,189
16,07/16/2016,143
16,03/15/2013,149
16,07/16/2015,107
16,07/16/2017,63
16,07/16/2014,174
16,07/16/2013,87
16,04/07/2016,106
16,04/07/2017,63
16,03/08/2016,93
16,03/08/2017,94
16,03/08/2014,288
16,03/08/2015,231
16,03/08/2013,124
16,12/17/2015,154
16,12/17/2014,165
16,12/17/2016,114
16,06/24/2017,89
16,12/17/2013,165
16,06/27/2015,212
16,04/07/2014,193
16,06/24/2014,187
16,06/24/2013,135
16,06/27/2014,267
16,04/07/2015,127
16,06/24/2016,142
16,06/27/2013,117
16,04/07/2013,133
16,06/24/2015,150
16,06/27/2017,42
16,06/27/2016,98
16,03/11/2013,116
16,03/11/2017,99
16,03/11/2016,123
16,03/11/2015,201
16,03/11/2014,167
16,02/26/2016,119
16,02/26/2015,241
16,02/26/2017,66
16,01/14/2013,90
16,01/14/2014,146
16,08/01/2017,1
16,08/01/2016,89
16,08/01/2015,200
16,08/01/2014,242
16,11/25/2013,135
16,11/25/2015,112
16,11/25/2014,176
16,08/01/2013,132
16,03/18/2014,183
16,03/18/2013,120
16,03/18/2016,148
16,03/18/2015,154
16,09/13/2016,60
16,09/13/2015,170
16,09/13/2014,445
16,09/13/2013,171
16,10/13/2013,155
16,10/13/2014,150
16,10/13/2015,147
16,10/13/2016,85
16,01/04/2016,107
16,01/04/2017,55
16,03/18/2017,102
16,11/25/2016,52
16,01/14/2015,195
16,01/14/2016,107
16,01/14/2017,70
16,02/26/2014,152
16,08/21/2016,111
16,02/26/2013,83
16,08/21/2015,191
16,08/08/2013,106
16,08/21/2014,221
16,08/08/2014,246
16,08/08/2015,199
16,08/21/2013,86
16,08/08/2016,83
16,07/30/2015,157
16,07/30/2016,119
16,07/30/2017,47
16,07/30/2013,130
16,07/30/2014,197
16,06/18/2016,180
16,05/07/2017,59
16,06/18/2017,86
16,06/18/2014,167
16,05/07/2015,157
16,05/07/2016,160
16,06/18/2015,167
16,05/07/2013,98
16,05/07/2014,168
16,05/24/2013,153
16,05/24/2014,256
16,05/24/2015,203
16,05/24/2016,109
16,05/24/2017,64
16,07/13/2014,261
16,07/13/2015,99
16,07/13/2013,219
16,01/04/2014,193
16,01/04/2015,170
16,03/26/2013,89
16,01/04/2013,71
16,07/13/2016,90
16,07/13/2017,51
16,12/04/2013,104
16,12/04/2014,232
16,12/04/2015,159
16,03/26/2015,189
16,02/15/2017,47
16,03/26/2014,169
16,02/15/2015,259
16,03/26/2017,61
16,02/15/2016,111
16,03/26/2016,104
16,04/29/2016,113
16,04/29/2017,75
16,06/18/2013,63
16,04/13/2014,255
16,04/13/2013,175
16,04/13/2016,116
16,04/13/2015,173
16,04/13/2017,90
16,06/02/2016,123
16,06/02/2015,147
16,04/29/2013,97
16,06/02/2014,193
16,04/29/2014,142
16,04/29/2015,152
16,06/02/2013,147
16,02/15/2013,104
16,02/15/2014,278
16,12/04/2016,71
16,08/16/2013,178
16,08/16/2015,159
16,08/16/2014,353
16,08/16/2016,91
16,06/02/2017,89
16,07/22/2013,102
16,07/22/2017,58
16,07/22/2016,98
16,07/22/2015,123
16,07/22/2014,169
16,01/28/2013,95
16,01/28/2016,89
16,01/28/2017,59
16,01/28/2014,138
16,01/28/2015,149
16,03/10/2015,185
16,03/10/2016,114
16,03/10/2013,148
16,03/10/2014,216
16,11/09/2014,250
16,11/09/2015,111
16,11/09/2016,110
16,11/09/2013,188
16,03/10/2017,69
16,09/27/2014,302
16,09/27/2013,152
16,09/27/2016,80
16,09/27/2015,180
16,02/23/2016,86
16,02/23/2017,88
16,02/23/2014,229
16,02/23/2015,200
16,02/23/2013,188
16,09/11/2016,62
